### Module positions - created on 07/31/17 22:06:33 ###
### Printed by Pcbnew version kicad 4.0.6
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                         Package                                 PosX       PosY       Rot  Side
R58       47                          R_0402                                5.6380    -2.8920   90.0000  top
R59       47                          R_0402                                5.5810    -2.8920   90.0000  top
R60       12                          R_0402                                5.6530    -2.9690    0.0000  top
R61       12                          R_0402                                5.5670    -2.9690  180.0000  top
R62       0k                          R_0805                                5.2420    -5.4050  180.0000  top
R63       0k                          R_0805                                5.2416    -5.2950  180.0000  top
R64       0k                          R_0805                                5.2416    -5.1840  180.0000  top
R65       0k                          R_0805                                5.2410    -5.0740  180.0000  top
R66       0k                          R_0805                                5.3400    -4.5750    0.0000  top
R67       0k                          R_0805                                4.6390    -3.2970   90.0000  top
R68       4.7k                        R_0805                                4.8031    -2.2835    0.0000  top
R70       4.7k                        R_0805                                4.8031    -2.1654    0.0000  top
R72       4.7k                        R_0805                                5.3543    -2.2047    0.0000  top
R74       4.7k                        R_0805                                5.3543    -2.3228    0.0000  top
R75       0k                          R_0805                                5.6299    -1.9685  180.0000  top
R76       0k                          R_0805                                5.9793    -2.6909  180.0000  top
R77       0k                          R_0805                                5.5930    -5.1970  180.0000  top
R78       0k                          R_0805                                6.1266    -5.2760    0.0000  top
R79       0k                          R_0805                                5.6040    -2.1520    0.0000  top
U1        TS3DDR3812_RUA_42           TS3DDR3812RUAR                        5.1654    -4.3130  180.0000  top
U2        DS25BR440_RTA_40            DS25BR440_SQA40A                      5.0394    -2.3622  270.0000  top
U3        SN74AVCH16T245_DGV_48       DGV48                                 4.1730    -2.8710  270.0000  top
U4        TS3DDR3812_RUA_42           TS3DDR3812RUAR                        5.0310    -3.2869   90.0000  top
U5        SN74AVCH16T245_DGV_48       DGV48                                 4.4803    -2.3622  270.0000  top
U6        SN74AVCH16T245_DGV_48       DGV48                                 4.9146    -5.1349  180.0000  top
U7        SN74AVCH16T245_DGV_48       DGV48                                 4.0530    -5.2516    0.0000  top
U8        NCP1117DT25RKG              DPAK-3                                5.9823    -2.1526    0.0000  top
## End
